allies_condition,healthy_friendliness,community_trusting_vulnerability,protective_behavior,fearful_withdrawn_relationship,willingness_to_flee,learned_helplessness,bully_behavior,aggressive_withdrawn_relationship,dangerous_trust
Standard Allies,11.226415094339623,0.2830188679245283,3.207547169811321,0.09433962264150944,0.0,0.0,33.39622641509434,26.50943396226415,25.28301886792453
Standard Allies,4.85996705107084,0.0,16.556836902800658,0.0,1.400329489291598,0.0,40.44481054365733,26.85337726523888,9.884678747940692
Standard Allies,1.3502779984114377,0.3177124702144559,24.384432088959493,0.0,2.1445591739475773,0.0,39.475774424146145,31.453534551231137,0.8737092930897538
Standard Allies,0.0,0.0,27.206477732793523,0.0,0.6477732793522267,0.0,37.73279352226721,33.11740890688259,1.2955465587044535
Standard Allies,0.0,0.0,16.518650088809945,0.08880994671403197,0.8880994671403197,0.0,42.53996447602132,37.47779751332149,2.4866785079928952
Standard Allies,2.6473099914602902,0.0,14.944491887275833,0.0,0.3415883859948762,0.0,46.712211784799315,30.31596925704526,5.038428693424423
Standard Allies,0.22675736961451248,0.0,14.399092970521542,0.11337868480725624,0.0,0.0,38.54875283446712,44.78458049886621,1.927437641723356
Standard Allies,0.08163265306122448,0.0,22.448979591836736,0.24489795918367346,0.8979591836734694,0.0,35.83673469387755,29.714285714285715,10.775510204081632
Standard Allies,0.0,0.0,25.648213034337772,0.0,1.401541695865452,0.0,44.358794674141556,26.559215136650316,2.032235459004905
Standard Allies,9.318637274549099,0.0,4.709418837675351,0.30060120240480964,0.30060120240480964,0.0,35.170340681362724,30.460921843687373,19.739478957915832
Standard Allies,1.5402843601895735,0.0,8.175355450236967,0.11848341232227488,0.0,0.0,42.654028436018955,45.497630331753555,2.014218009478673
Standard Allies,0.16652789342214822,0.0,23.397169025811824,0.33305578684429643,1.4987510407993339,0.0,39.217318900915906,32.88925895087427,2.4979184013322233
Standard Allies,0.0,0.0,28.095975232198143,0.0,0.6191950464396285,0.0,37.693498452012385,32.585139318885446,1.0061919504643964
Standard Allies,10.568383658969804,0.17761989342806395,26.642984014209592,0.0,0.0,0.0,29.840142095914743,24.689165186500887,8.081705150976909
Standard Allies,8.960843373493976,0.30120481927710846,19.728915662650603,0.0,0.30120481927710846,0.0,37.80120481927711,21.762048192771083,11.144578313253012
Standard Allies,1.601281024819856,0.4803843074459568,26.180944755804642,0.32025620496397117,2.00160128102482,0.0,35.30824659727782,28.66293034427542,5.44435548438751
Standard Allies,0.0,0.08045052292839903,20.514883346741755,0.0,0.7240547063555913,0.0,38.213998390989545,32.180209171359614,8.2864038616251
Standard Allies,0.0,0.0,24.667133847231955,0.0,0.7708479327259986,0.0,46.60126138752628,26.3489838822705,1.6117729502452698
Standard Allies,0.0,0.0,12.452830188679245,0.18867924528301888,0.7547169811320755,0.0,43.9622641509434,37.924528301886795,4.716981132075472
Standard Allies,13.212669683257918,0.0,9.411764705882353,0.09049773755656108,0.27149321266968324,0.0,28.235294117647058,21.266968325791854,27.511312217194572
Standard Allies,2.240325865580448,0.20366598778004075,17.10794297352342,0.20366598778004075,0.20366598778004075,0.0,41.54786150712831,35.64154786150713,2.8513238289205702
Standard Allies,15.799432355723747,0.3784295175023652,5.4872280037842955,0.0,0.1892147587511826,0.0,25.354777672658468,20.719016083254495,32.07190160832545
Standard Allies,15.182755388940956,0.0,3.561387066541706,0.09372071227741331,0.6560449859418932,0.0,28.116213683223993,21.836925960637302,30.55295220243674
Standard Allies,0.6329113924050633,0.0,16.877637130801688,0.0,0.14064697609001406,0.0,52.53164556962025,28.69198312236287,1.1251758087201125
Standard Allies,10.229976209357652,0.0,15.939730372720064,0.0,0.23790642347343377,0.0,40.44409199048374,21.88739095955591,11.2609040444092
Standard Allies,7.287157287157287,0.0,14.862914862914863,0.0,0.21645021645021645,0.0,41.702741702741704,23.881673881673883,12.04906204906205
Standard Allies,7.216494845360825,0.3865979381443299,12.5,0.0,0.0,0.0,36.98453608247423,40.59278350515464,2.3195876288659796
Standard Allies,3.7341299477221805,0.4480955937266617,15.758028379387603,0.0,0.4480955937266617,0.0,39.656460044809556,25.914861837191935,14.0403286034354
Standard Allies,7.174887892376682,0.11210762331838565,14.125560538116591,0.0,1.0089686098654709,0.0,36.65919282511211,36.65919282511211,4.260089686098655
Standard Allies,7.164179104477612,0.0,20.52238805970149,0.0,0.0,0.0,38.95522388059702,23.28358208955224,10.074626865671641
Standard Allies,2.936096718480138,0.17271157167530224,24.956822107081173,0.0,0.7772020725388601,0.0,35.83765112262522,30.13816925734024,5.181347150259067
Standard Allies,7.782672540381792,0.0,22.026431718061673,0.0,0.0,0.0,40.161527165932455,22.980910425844346,7.048458149779735
Standard Allies,5.241264559068219,0.415973377703827,21.46422628951747,0.0,0.0,0.0,34.69217970049917,27.537437603993343,10.64891846921797
Standard Allies,7.308684436801376,0.0,20.206362854686155,0.0,0.0,0.0,33.27601031814273,25.27944969905417,13.929492691315563
Standard Allies,2.584670231729055,0.08912655971479501,22.01426024955437,0.08912655971479501,1.6042780748663101,0.0,39.12655971479501,31.729055258467024,2.762923351158645
Standard Allies,4.967602591792657,0.0,20.734341252699785,0.0,1.8718502519798417,0.0,42.04463642908567,22.67818574514039,7.703383729301656
Standard Allies,9.069767441860465,0.3488372093023256,12.44186046511628,0.6976744186046512,0.11627906976744186,0.0,37.325581395348834,37.2093023255814,2.7906976744186047
Standard Allies,1.7014694508894044,0.0,23.74323279195669,0.0,1.5467904098994587,0.0,40.52590873936582,31.786542923433874,0.6960556844547564
Standard Allies,0.28846153846153844,0.0,15.0,0.0,0.38461538461538464,0.0,43.84615384615385,37.40384615384615,3.076923076923077
Standard Allies,6.1773255813953485,0.14534883720930233,13.662790697674419,0.0,0.0,0.0,40.18895348837209,24.709302325581394,15.116279069767442
Standard Allies,0.6028636021100227,0.07535795026375283,14.318010550113037,0.0,2.0346646571213265,0.0,48.90730972117559,32.780708364732476,1.281085154483798
Standard Allies,2.541630148992112,0.5258545135845749,20.333041191936896,0.0,0.43821209465381245,0.0,37.24802804557406,31.814198071866784,7.099035933391762
Standard Allies,0.0,0.0,18.94484412470024,0.15987210231814547,0.31974420463629094,0.0,40.12789768185451,30.535571542765787,9.91207034372502
Standard Allies,6.769494430162811,0.0,19.53727506426735,0.0,0.1713796058269066,0.0,33.7617823479006,27.934875749785775,11.825192802056556
Standard Allies,6.811451135241856,0.0,13.030602171767029,0.29615004935834155,0.39486673247778875,0.0,44.52122408687068,32.379072063178675,2.566633761105627
Standard Allies,8.538461538461538,0.0,14.923076923076923,0.0,0.0,0.0,38.61538461538461,22.76923076923077,15.153846153846153
Standard Allies,1.1952191235059761,0.398406374501992,12.649402390438247,0.796812749003984,0.896414342629482,0.0,41.832669322709165,39.44223107569721,2.7888446215139444
Standard Allies,0.0,0.076103500761035,26.484018264840184,0.0,0.60882800608828,0.0,40.182648401826484,29.52815829528158,3.1202435312024352
Standard Allies,0.6809338521400778,0.0,16.147859922178988,0.2918287937743191,2.237354085603113,0.0,44.06614785992218,34.63035019455253,1.9455252918287937
Standard Allies,7.014542343883662,0.1710863986313088,20.01710863986313,0.0,0.0,0.0,33.361847733105215,26.518391787852867,12.917023096663815
Standard Allies,17.26078799249531,0.18761726078799248,5.440900562851782,0.0,0.5628517823639775,0.0,26.641651031894934,18.66791744840525,31.23827392120075
Standard Allies,4.541326067211626,0.09082652134423251,5.903723887375113,0.0,0.0,0.0,52.67938237965486,31.244323342415985,5.540417801998183
